5700 1 2
Gustavo 26 18 19  
Helena 31 20 25  
Igor 28 21 17  
Juliana 30 15 20  
Karla 27 22 23  
Lucas 30 19 18  
Mariana 29 21 20  
Nicolás 27 22 21  
Olga 30 14 22  
Pablo 26 21 19  
Quintino 28 19 23  
Roberta 30 20 18  
Silvio 27 16 22  
Tatiane 31 21 20  
Uriel 30 18 21  
Vanessa 28 20 23  
William 27 22 17  
Yuri 30 15 19  
Zilda 29 21 20  
Andressa 26 18 25  
Bruna 31 20 19  
Cláudia 28 21 22  
Danilo 27 14 21  
Elaine 30 22 18  
Fabiana 26 19 20  
Guilherme 29 17 22  
Hannah 28 20 25  
Icaro 31 21 20  
Jéssica 27 18 19  
Karine 30 15 23  
Leandro 26 22 18  
Marcos 31 19 22  
Nina 27 14 20  
Otávia 30 22 19  
Paula 29 21 18  
Ricardo 28 18 25  
Sérgio 30 16 23  
Tatiane 27 20 22  
Victor 29 22 19  
Wellington 30 15 20  
Yuri 28 21 20  
Zélia 26 19 18  
Andréa 30 18 22  
Bianca 27 15 20  
Cristiano 26 21 17  
Débora 30 20 18  
Eliane 29 22 19  
Fernando 31 14 23  
Giovanna 27 18 25  
Alice 30 22 20  
Bruno 29 21 18  
Carla 26 19 22  
David 30 16 19  
Eva 28 20 23  
Fábio 31 15 22  
Gisele 27 18 21  
Henrique 30 19 25  
Irene 29 21 20  
Jorge 30 22 18  
Karla 28 16 23  
Lucas 26 19 21  
Marcia 31 20 19  
Nicolas 30 21 20  
Olga 27 22 18  
Pedro 28 20 23  
Quésia 29 17 21  
Rafaela 31 19 16  
Samuel 30 22 20  
Tatiane 27 15 18  
Ulysses 28 21 22  
Valéria 31 16 23  
Wellington 29 18 25  
Yasmin 27 19 22  
Zé 30 21 20  
Aline 31 20 17  
Bruno 29 22 18  
Carla 27 15 21  
Daniela 30 20 25  
Eduardo 28 22 19  
Fernanda 31 18 20  
Gustavo 27 19 23  
Helena 30 15 22  
Igor 29 21 20  
Juliana 26 22 17  
Karla 31 16 25  
Lucas 27 18 21  
Mariana 30 20 22  
Nicolás 28 22 20  
Olga 30 21 17  
Pablo 26 19 22  
Quintino 31 20 18  
Roberta 28 15 23  
Silvio 30 19 22  
Tatiane 27 21 19  
Uriel 29 14 25  
Vanessa 30 22 18  
William 26 18 20  
Yuri 31 20 21  
Zilda 28 21 16  
Andressa 30 19 23  
Bruna 29 16 20  
Cláudia 27 22 18  
Danilo 28 21 20  
Elaine 31 20 17  
Fabiana 30 22 21  
Guilherme 26 15 23  
Hannah 29 21 22  
Icaro 27 19 25  
Jéssica 30 16 22  
Karine 31 22 18  
Leandro 28 20 19  
Marcos 29 22 20  
Nina 30 19 25  
Otávia 26 21 18  
Paula 31 16 20  
Ricardo 27 19 22  
Sérgio 30 20 17  
Tatiane 28 22 23  
Victor 29 14 21  
Wellington 31 18 22  
Yuri 30 21 19  
Zélia 27 20 18  
Andréa 26 22 21  
Bianca 30 19 20  
Cristiano 27 15 22  
Débora 28 18 25  
Eliane 30 21 17  
Fernando 29 22 19  
Giovanna 31 20 22  
Alice 28 21 16  
Bruno 30 19 21  
Carla 26 22 18  
David 31 15 20  
Eva 27 18 22  
Fábio 30 21 23  
Gisele 28 16 19  
Henrique 27 22 18  
Irene 29 20 22  
Jorge 31 21 19  
Karla 30 15 20  
Lucas 27 19 21  
Marcia 30 22 18  
Nicolas 31 18 25  
Olga 28 20 22  
Pedro 30 16 23  
Quésia 29 22 21  
Rafaela 31 19 20  
Samuel 28 15 18  
Tatiane 30 21 19  
Ulysses 27 22 16  
Valéria 31 20 21  
Wellington 30 18 23  
Yasmin 28 21 17  
Zé 29 20 25  
Aline 30 14 22  
Bruno 27 22 19  
Carla 28 20 21  
Daniela 30 19 22  
Eduardo 29 15 18  
Fernanda 26 21 20  
Gustavo 31 19 23  
Helena 30 22 18  
Igor 27 18 20  
Juliana 28 22 19  
Karla 30 16 22  
Lucas 29 20 25  
Mariana 31 14 21  
Nicolás 27 21 18  
Olga 30 22 20  
Pablo 28 19 17  
Quintino 30 18 23  
Roberta 29 20 19  
Silvio 31 15 22  
Tatiane 27 19 25  
Uriel 28 21 20  
Vanessa 29 22 23  
William 30 16 18  
Yuri 27 20 22  
Zilda 31 19 20  
Andressa 24 16 21  
Bruna 27 22 19  
Cláudia 30 21 23  
Danilo 28 15 20  
Elaine 31 18 25  
Fabiana 27 20 22  
Guilherme 26 22 21  
Hannah 30 19 16  
Icaro 27 21 18  
Jéssica 30 20 23  
Karine 31 16 20  
Leandro 29 22 17  
Marcos 26 18 19  
Nina 31 14 22  
Otávia 30 19 20  
Paula 27 22 23  
Ricardo 31 20 18  
Sérgio 28 21 25  
Tatiane 30 16 20  
Victor 29 18 22  
Wellington 31 19 21  
Yuri 30 21 18  
Zélia 27 22 19  
Andréa 30 15 22  
Bianca 31 20 18  
Cristiano 28 21 16  
Débora 30 22 19  
Eliane 26 18 25  
Fernando 31 19 20  
Giovanna 27 22 17  
Alice 28 20 19  
Bruno 30 19 22  
Carla 27 21 18  
David 28 16 25  
Eva 30 22 21  
Fábio 29 15 23  
Gisele 31 18 20  
Henrique 30 20 17  
Irene 27 19 22  
Jorge 31 21 20  
Karla 28 16 21  
Lucas 30 22 18  
Marcia 27 15 20
Nicolas 31 20 19  
Olga 27 21 22  
Pedro 30 18 23  
Quésia 29 20 22  
Rafaela 28 22 18  
Samuel 31 15 23  
Tatiane 30 22 21  
Ulysses 27 19 20  
Valéria 31 16 23  
Wellington 27 21 16  
Yasmin 30 20 19  
Zé 31 18 25  
Aline 30 22 17  
Bruno 27 20 19  
Carla 30 18 25  
Daniela 28 21 20  
Eduardo 30 22 17  
Fernanda 27 22 20  
Gustavo 30 21 18  
Helena 31 19 21  
Igor 28 20 19  
Juliana 30 16 22  
Karla 29 15 20  
Lucas 27 22 19  
Mariana 30 20 22  
Nicolás 31 22 18  
Olga 26 21 19  
Pablo 31 20 18  
Quintino 27 15 23  
Roberta 30 21 22  
Silvio 28 16 20  
Tatiane 29 18 21  
Uriel 26 22 23  
Vanessa 31 19 22  
William 27 18 25  
Yuri 30 21 17  
Zilda 30 20 21  
Andressa 27 20 22  
Bruna 31 15 23  
Cláudia 30 21 16  
Danilo 27 15 22  
Elaine 31 21 19  
Fabiana 30 21 22  
Guilherme 29 18 16  
Hannah 30 22 19  
Icaro 27 19 20  
Jéssica 30 21 23  
Karine 27 21 19  
Leandro 31 16 22  
Marcos 30 18 20  
Nina 28 21 18  
Otávia 30 21 20  
Paula 27 19 23  
Ricardo 31 21 16  
Sérgio 30 20 19  
Tatiane 27 16 25  
Victor 29 15 23  
Wellington 30 19 20  
Yuri 27 22 17  
Zélia 28 21 22  
Andréa 30 15 21  
Bianca 29 20 19  
Cristiano 27 21 20  
Débora 30 16 22  
Eliane 27 22 18  
Fernando 31 15 23  
Giovanna 27 21 18  
Alice 30 20 17  
Bruno 31 22 18  
Carla 30 20 22  
David 29 22 17  
Eva 27 19 22  
Fábio 31 20 22  
Gisele 28 22 20  
Henrique 30 18 20  
Irene 31 16 25  
Jorge 30 21 16  
Karla 30 15 21  
Lucas 30 18 22  
Marcia 30 21 22  
Nicolás 30 20 23  
Olga 29 18 19  
Pedro 27 21 18  
Quésia 31 19 22  
Rafaela 30 22 19  
Samuel 29 22 20  
Tatiane 30 16 23  
Ulysses 31 20 17  
Valéria 27 19 25  
Wellington 30 18 22  
Yasmin 30 21 16  
Zé 28 19 23  
Aline 27 22 18  
Bruno 30 18 23  
Carla 27 19 20  
Daniela 31 20 19  
Eduardo 28 20 17  
Fernanda 30 21 18  
Gustavo 29 17 23  
Helena 31 20 22  
Igor 27 22 18  
Juliana 30 22 21  
Karla 31 18 20  
Lucas 30 20 16  
Mariana 27 19 22  
Nicolás 31 19 18  
Olga 30 18 20  
Pablo 27 21 18  
Quintino 30 15 22  
Roberta 29 22 19  
Silvio 27 19 20  
Tatiane 28 20 18  
Uriel 31 20 23  
Vanessa 30 15 25  
William 28 22 20  
Yuri 31 22 16  
Zilda 30 20 18  
Andressa 27 15 20  
Bruna 31 20 18  
Cláudia 30 16 21  
Danilo 28 20 17  
Elaine 30 18 25  
Fabiana 27 16 19  
Guilherme 30 21 22  
Hannah 27 22 18  
Icaro 31 19 21  
Jéssica 28 22 19  
Karine 27 21 20  
Leandro 30 16 21  
Marcos 30 20 22  
Nina 29 22 21  
Otávia 31 20 23  
Paula 30 15 25  
Ricardo 29 22 16  
Sérgio 27 21 18  
Tatiane 31 19 22  
Victor 30 22 21  
Wellington 27 20 18  
Yuri 31 20 16  
Zélia 29 21 19  
Andréa 27 18 22  
Bianca 28 21 20  
Cristiano 31 15 20  
Débora 27 22 18  
Eliane 30 19 25  
Fernando 27 18 21  
Giovanna 31 22 17  
Alice 30 20 22  
Bruno 28 22 19  
Carla 31 18 20  
David 30 21 19  
Eva 27 19 25  
Fábio 31 20 23  
Gisele 30 21 16  
Henrique 27 19 23  
Irene 31 20 18  
Jorge 28 21 22  
Karla 31 19 22  
Lucas 30 18 25  
Marcia 30 22 17  
Nicolás 27 15 18  
Olga 30 21 19  
Pedro 30 20 25  
Quésia 28 21 20  
Rafaela 27 19 25  
Samuel 30 20 19  
Tatiane 30 22 18  
Ulysses 27 16 22  
Valéria 30 21 18  
Wellington 27 21 19  
Yasmin 28 22 20  
Zé 27 15 22  
Aline 30 18 25  
Bruno 30 21 18  
Carla 29 16 23  
Daniela 30 22 21  
Eduardo 30 21 19  
Fernanda 27 20 16  
Gustavo 30 16 22  
Helena 31 22 18  
Igor 30 22 19  
Juliana 30 20 16  
Karla 31 21 16  
Lucas 30 22 18  
Mariana 29 21 17  
Nicolás 27 15 23  
Olga 28 20 22  
Pablo 31 22 18  
Quintino 30 15 21  
Roberta 27 22 18  
Silvio 27 21 19  
Tatiane 30 20 19  
Uriel 31 20 22  
Vanessa 30 16 20  
William 28 22 22  
Yuri 30 21 17  
Zilda 30 21 19  
Andressa 30 16 22  
Bruna 27 18 21  
Cláudia 31 15 19  
Danilo 30 22 23  
Elaine 27 22 17  
Fabiana 30 19 22  
Guilherme 31 15 21  
Hannah 30 22 18  
Icaro 27 21 19  
Jéssica 27 18 20  
Karine 30 20 22  
Leandro 31 19 20  
Marcos 30 22 23  
Nina 31 20 21  
Otávia 30 22 16  
Paula 29 19 22  
Ricardo 27 15 22  
Sérgio 30 21 16  
Tatiane 30 22 18  
Victor 30 21 19  
Wellington 30 18 20  
Yuri 27 21 20  
Zélia 27 22 19  
Andréa 30 20 19  
Bianca 30 21 18  
Cristiano 27 18 20  
Débora 31 20 21  
Eliane 27 16 22  
Fernando 31 21 17  
Giovanna 28 20 22  
Alice 30 16 21  
Bruno 27 18 21  
Carla 31 22 23  
David 30 21 17  
Eva 27 20 22  
Fábio 30 19 22  
Gisele 30 21 20  
Henrique 27 21 18  
Irene 30 22 25  
Jorge 31 20 16  
Karla 31 16 25  
Lucas 31 20 21  
Marcia 30 22 23  
Nicolás 31 22 18  
Olga 27 20 22  
Pedro 31 18 22  
Quésia 27 19 18  
Rafaela 27 21 19  
Samuel 30 20 25  
Tatiane 30 22 16  
Ulysses 30 16 20  
Valéria 31 21 22  
Wellington 27 20 18  
Yasmin 30 18 22  
Zé 31 21 20  
Aline 27 19 20  
Bruno 31 15 25  
Carla 27 21 20  
Daniela 27 20 22  
Eduardo 30 16 21  
Fernanda 27 18 20  
Gustavo 27 22 20  
Helena 30 22 16  
Igor 30 21 23  
Juliana 30 18 21  
Karla 31 20 19  
Lucas 30 16 25  
Mariana 31 20 19  
Nicolás 30 19 23  
Olga 30 19 18  
Pablo 27 22 18  
Quintino 27 22 17  
Roberta 28 21 18  
Silvio 27 19 18  
Tatiane 30 21 20  
Uriel 27 22 23  
Vanessa 30 22 18  
William 31 22 16  
Yuri 30 22 22  
Zilda 27 21 22
Ana 22 12 18  
Bruno 30 20 15  
Carla 25 17 22  
Diego 28 14 19  
Elena 35 23 20  
Felipe 27 18 16  
Gabriela 24 16 21  
Hugo 31 19 17  
Isabel 29 21 23  
João 26 15 20  
Karen 33 22 18  
Lucas 21 13 14  
Mariana 27 18 19  
Nicolás 32 20 22  
Olivia 26 17 15  
Paulo 28 16 20  
Quésia 24 14 19  
Rafael 30 22 21  
Sabrina 25 18 16  
Tiago 29 19 17  
André 34 15 20  
Beatriz 23 19 18  
Carlos 31 22 25  
Diana 29 16 17  
Eduardo 27 20 21  
Fernanda 25 14 19  
Gustavo 30 18 20  
Helena 24 17 23  
Igor 28 19 21  
Juliana 26 22 18  
Karla 32 15 20  
Lúcio 29 21 19  
Maria 27 16 22  
Natália 25 20 18  
Otávio 33 14 23  
Patrícia 22 17 19  
Renan 28 21 20  
Sandra 26 18 15  
Tânia 31 22 25  
Ulysses 30 19 22  
Vanessa 24 16 21  
Walter 29 17 20  
Yara 27 20 18  
Zé 26 14 22  
Aline 22 19 21  
Beto 28 15 20  
Célia 30 18 22  
Daniel 25 22 17  
Emanuelle 27 16 19  
Fábio 29 21 20  
Geovana 24 17 22  
Hélio 33 20 15  
Irene 26 18 19  
Joana 30 22 25  
Kelvin 27 14 21  
Lúcia 25 19 17  
Mário 29 20 22  
Nádia 31 16 23  
Olga 24 22 18  
Pablo 27 17 21  
Quintino 33 20 19  
Roberta 25 18 20  
Silvio 28 21 22  
Talita 29 16 17  
Uriel 26 22 20  
Verônica 30 18 19  
William 27 14 22  
Xuxa 25 20 17  
Yasmin 28 21 19  
Zilda 29 22 18  
Andressa 23 15 20  
Bruna 30 18 22  
Cláudia 25 19 17  
Danilo 27 20 19  
Elaine 28 22 21  
Fabiana 26 16 23  
Guilherme 29 21 20  
Hannah 31 18 22  
Icaro 24 14 21  
Jéssica 26 19 20  
Karine 28 22 18  
Leandro 30 15 17  
Marcos 27 20 23  
Nina 25 19 22  
Otávia 32 21 20  
Paula 26 18 15  
Ricardo 29 22 17  
Sérgio 30 20 19  
Tatiane 27 16 23  
Victor 31 18 20  
Wellington 29 14 22  
Yuri 26 21 17  
Zélia 30 22 18  
Andréa 28 15 21  
Bianca 27 19 22  
Cristiano 24 20 17  
Débora 32 16 19  
Eliane 29 21 20  
Fernando 26 18 23  
Giovanna 30 22 15  
Alice 22 13 20  
Bruno 27 19 22  
Carla 31 14 18  
David 29 21 16  
Eva 26 20 25  
Fábio 28 17 19  
Gisele 24 15 21  
Henrique 30 22 20  
Irene 25 18 23  
Jorge 27 16 17  
Karla 32 19 18  
Lucas 29 22 20  
Marcia 24 20 19  
Nicolas 30 15 22  
Olga 26 19 21  
Pedro 28 21 16  
Quésia 31 14 20  
Rafaela 27 22 23  
Samuel 29 18 25  
Tatiane 24 20 17  
Ulysses 32 15 19  
Valéria 30 19 22  
Wellington 28 16 21  
Yasmin 24 21 18  
Zé 29 20 23  
Aline 27 18 20  
Bruno 25 16 22  
Carla 30 22 15  
Daniela 28 19 17  
Eduardo 26 20 21  
Fernanda 31 14 18  
Gustavo 24 22 20  
Helena 29 15 23  
Igor 30 21 19  
Juliana 27 18 22  
Karla 25 19 16  
Lucas 31 20 25  
Mariana 24 14 19  
Nicolás 28 22 20  
Olga 30 17 21  
Pablo 27 19 23  
Quintino 29 16 22  
Roberta 26 21 18  
Silvio 32 15 20  
Tatiane 24 19 21  
Uriel 27 20 22  
Vanessa 30 18 17  
William 29 14 20  
Yuri 26 22 19  
Zilda 31 15 23  
Andressa 28 19 21  
Bruna 24 18 22  
Cláudia 30 16 17  
Danilo 29 22 20  
Elaine 27 14 18  
Fabiana 31 20 21  
Guilherme 24 19 23  
Hannah 28 21 17  
Icaro 26 18 20  
Jéssica 29 15 22  
Karine 30 22 19  
Leandro 27 20 21  
Marcos 31 16 23  
Nina 28 19 22  
Otávia 24 20 18  
Paula 30 21 20  
Ricardo 27 18 19  
Sérgio 29 15 22  
Tatiane 31 22 20  
Victor 28 20 18  
Wellington 26 14 23  
Yuri 30 19 21  
Zélia 27 22 20  
Andréa 30 20 22  
Bianca 28 19 17  
Cristiano 27 18 23  
Débora 29 21 19  
Eliane 30 16 20  
Fernando 26 22 18  
Giovanna 31 19 23  
Alice 26 20 22  
Bruno 30 17 18  
Carla 27 19 25  
David 28 21 20  
Eva 24 22 23  
Fábio 31 15 19  
Gisele 26 18 21  
Henrique 30 20 22  
Irene 27 19 20  
Jorge 29 16 18  
Karla 28 21 19  
Lucas 30 22 16  
Marcia 27 14 21  
Nicolas 26 19 23  
Olga 31 15 19  
Pedro 28 20 22  
Quésia 24 16 21  
Rafaela 29 22 20  
Samuel 27 18 17  
Tatiane 30 21 23  
Ulysses 28 19 18  
Valéria 31 16 20  
Wellington 26 22 19  
Yasmin 29 15 22  
Zé 30 20 17  
Aline 27 18 21  
Bruno 24 22 19  
Carla 31 20 23  
Daniela 28 15 22  
Eduardo 26 19 18  
Fernanda 30 21 20  
Gustavo 29 16 23  
Helena 27 22 21  
Igor 31 20 18  
Juliana 24 14 22  
Karla 29 21 19  
Lucas 30 18 25  
Mariana 27 19 17  
Nicolás 28 22 16  
Olga 31 20 23  
Pablo 26 21 19  
Quintino 29 15 20  
